# gal zone depth edge out
2478 1036 0 1 0
2479 1036 0 1 0
2480 1036 0 1 0
2481 1036 0 1 0
2482 815 4 0 0
2487 136 4 0 0
2491 1036 0 1 0
2493 1036 0 1 0
2498 1036 0 1 0
2499 815 4 0 0
2501 222 3 0 0
2505 444 3 0 0
2506 745 1 0 0
2514 1036 0 1 0
2515 136 4 0 0
2518 1036 0 1 0
2519 745 2 0 0
2520 1036 0 1 0
2526 1036 0 1 0
2532 1036 0 1 0
2538 1036 0 1 0
2539 815 3 0 0
2541 1036 0 1 0
2551 1036 0 1 0
2553 1036 0 1 0
2556 1036 0 1 0
2557 1036 0 1 0
2559 143 5 0 0
2560 22 4 0 0
2562 815 3 0 0
2563 222 3 0 0
2575 815 2 0 0
2578 22 5 0 0
2583 1036 0 1 0
2586 410 5 0 0
2590 907 1 0 0
2595 830 2 0 0
2598 907 1 0 0
2602 143 4 0 0
2604 652 3 0 0
2613 370 5 0 0
2615 815 3 0 0
2623 830 2 0 0
2632 607 2 0 0
2633 745 2 0 0
2636 222 4 0 0
2645 1036 0 1 0
2652 136 5 0 0
2654 830 2 0 0
2655 745 1 0 0
2661 745 2 0 0
2668 1036 0 1 0
2669 652 4 0 0
2671 745 1 0 0
2672 652 3 0 0
2674 136 3 0 0
2676 830 3 0 0
2681 815 3 0 0
2682 607 2 0 0
2687 830 2 0 0
2692 370 8 0 0
2693 370 8 0 0
2695 1036 0 1 0
2704 136 3 0 0
2705 22 4 0 0
2706 815 4 0 0
2707 745 1 0 0
2708 815 3 0 0
2709 815 1 0 0
2710 815 3 0 0
2712 815 2 0 0
2714 745 1 0 0
2715 815 3 0 0
2716 410 3 0 0
2719 410 3 0 0
2720 410 3 0 0
2721 607 2 0 0
2722 370 7 0 0
2724 370 8 0 0
2725 607 2 0 0
2727 607 2 0 0
2728 1036 0 1 0
2729 745 1 0 0
2730 410 3 0 0
2732 410 4 0 0
2733 815 5 0 0
2734 410 1 0 0
2735 815 4 0 0
2736 444 2 0 0
2737 815 4 0 0
2738 410 3 0 0
2742 370 8 0 0
2744 410 2 0 0
2746 22 4 0 0
2747 444 4 0 0
2748 607 2 0 0
2749 607 2 0 0
2750 410 3 0 0
2751 410 3 0 0
2752 410 3 0 0
2753 410 2 0 0
2754 607 2 0 0
2756 607 1 0 0
2757 410 1 0 0
2759 410 3 0 0
2761 410 3 0 0
2763 501 1 0 0
2764 607 1 0 0
2772 444 3 0 0
2773 22 4 0 0
2774 410 2 0 0
2778 1036 0 1 0
2779 1036 0 1 0
2781 1036 0 1 0
2782 836 1 0 0
2784 1036 0 1 0
2788 410 2 0 0
2790 1036 0 1 0
2796 222 3 0 0
2797 1036 0 1 0
2800 1036 0 1 0
2801 1036 0 1 0
2802 1036 0 1 0
2804 410 4 0 0
2805 410 2 0 0
2807 619 1 0 0
2813 136 3 0 0
2815 410 2 0 0
2816 1036 0 1 0
2817 1036 0 1 0
2819 1036 0 1 0
2821 745 3 0 0
2823 745 4 0 0
2825 1036 0 1 0
2827 410 4 0 0
2829 136 3 0 0
2830 410 3 0 0
2831 410 2 0 0
2832 410 3 0 0
2837 1036 0 1 0
2838 1036 0 1 0
2839 410 2 0 0
2841 410 3 0 0
2842 136 4 0 0
2843 1036 0 1 0
2847 1036 0 1 0
2849 1036 0 1 0
2850 1036 0 1 0
2857 410 2 0 0
2858 745 3 0 0
2859 410 3 0 0
2863 1036 0 1 0
2869 136 4 0 0
2877 1036 0 1 0
2878 410 3 0 0
2879 1036 0 1 0
2880 1036 0 1 0
2882 1036 0 1 0
2886 1036 0 1 0
2887 136 4 0 0
2889 136 4 0 0
2891 1036 0 1 0
2893 607 2 0 0
2895 136 3 0 0
2899 1036 0 1 0
2900 1036 0 1 0
2904 1036 0 1 0
2906 1036 0 1 0
2908 745 2 0 0
2911 136 4 0 0
2912 745 2 0 0
2915 1036 0 1 0
2917 1036 0 1 0
2922 1036 0 1 0
2924 1036 0 1 0
2927 22 4 0 0
2928 815 4 0 0
2929 1036 0 1 0
2933 410 3 0 0
2934 410 2 0 0
2935 444 2 0 0
2936 444 3 0 0
2937 607 2 0 0
2938 370 5 0 0
2939 410 3 0 0
2940 815 3 0 0
2942 410 4 0 0
2943 410 3 0 0
2944 410 3 0 0
2945 410 2 0 0
2946 410 2 0 0
2947 745 2 0 0
2950 136 4 0 0
2952 815 5 0 0
2953 410 2 0 0
2954 444 3 0 0
2955 607 3 0 0
2956 410 2 0 0
