# NSAID zone depth edge out
2239 850 1 0 0
2240 1035 0 1 0
2241 1035 0 1 0
2242 1035 0 1 0
2243 1035 0 1 0
2246 566 2 0 0
2247 566 2 0 0
2248 22 6 0 0
2249 1035 0 1 0
2252 713 5 0 0
2253 22 5 0 0
2256 574 3 0 0
2257 574 2 0 0
2258 22 4 0 0
2273 1035 0 1 0
2274 22 5 0 0
2279 597 2 0 0
2281 684 3 0 0
2284 597 2 0 0
2285 22 5 0 0
2287 713 4 0 0
2288 559 2 0 0
2291 935 1 0 0
2292 935 1 0 0
2294 566 2 0 0
2299 850 1 0 0
2300 850 1 0 0
2302 691 2 0 0
2304 828 1 0 0
2305 828 2 0 0
2308 1035 0 1 0
2310 850 2 0 0
2311 713 5 0 0
2315 450 3 0 0
2319 850 1 0 0
2324 850 1 0 0
2327 850 1 0 0
2328 850 1 0 0
2331 691 4 0 0
2332 850 1 0 0
2334 22 4 0 0
2337 22 4 0 0
2338 22 4 0 0
2340 850 1 0 0
2341 22 4 0 0
2349 713 5 0 0
2350 22 4 0 0
2351 713 5 0 0
2353 22 5 0 0
2354 22 4 0 0
2362 850 2 0 0
2365 713 5 0 0
2374 850 1 0 0
2376 22 4 0 0
2378 574 5 0 0
2379 850 1 0 0
2380 574 6 0 0
2383 22 3 0 0
2388 850 2 0 0
2390 691 1 0 0
2397 850 3 0 0
2399 22 4 0 0
2400 574 6 0 0
2401 691 3 0 0
2402 691 3 0 0
2403 22 4 0 0
2404 22 4 0 0
2410 850 2 0 0
2412 850 1 0 0
2419 850 4 0 0
2420 850 0 0 0
2422 616 1 0 0
2423 850 5 0 0
2426 574 5 0 0
2427 574 3 0 0
2431 450 2 0 0
2440 22 3 0 0
2443 22 4 0 0
2444 691 1 0 0
2445 1035 0 1 0
2449 1035 0 1 0
2452 1035 0 1 0
2453 1035 0 1 0
2455 850 5 0 0
2458 850 4 0 0
2459 1035 0 1 0
2468 143 3 0 0
2469 143 3 0 0
2470 1035 0 1 0
2473 1035 0 1 0
2475 143 3 0 0
2477 143 3 0 0
2484 1035 0 1 0
2485 1035 0 1 0
2488 1035 0 1 0
2490 1035 0 1 0
2493 143 2 0 0
2494 22 4 0 0
2505 1035 0 1 0
2511 1035 0 1 0
2516 1035 0 1 0
2518 22 4 0 0
2521 1035 0 1 0
2522 691 1 0 0
2526 22 4 0 0
2527 143 2 0 0
2532 1035 0 1 0
2534 1035 0 1 0
2536 1035 0 1 0
2540 1035 0 1 0
2542 1035 0 1 0
2547 691 2 0 0
2549 22 4 0 0
2550 22 4 0 0
2551 22 3 0 0
2552 1035 0 1 0
2553 22 4 0 0
2554 850 2 0 0
2557 1035 0 1 0
2558 1035 0 1 0
2560 1035 0 1 0
2561 1035 0 1 0
2564 1035 0 1 0
2572 1035 0 1 0
2574 22 4 0 0
2575 22 4 0 0
2576 1035 0 1 0
2578 1035 0 1 0
2581 1035 0 1 0
2583 1035 0 1 0
2585 22 4 0 0
2588 1035 0 1 0
2590 350 2 0 0
2591 350 2 0 0
2593 574 3 0 0
2597 850 4 0 0
2599 850 2 0 0
2602 22 3 0 0
2608 850 3 0 0
2622 691 3 0 0
2625 691 2 0 0
2626 574 4 0 0
2628 850 1 0 0
2631 22 3 0 0
2632 22 3 0 0
2644 691 0 0 0
2650 22 4 0 0
2651 22 3 0 0
2652 22 3 0 0
2653 850 1 0 0
2654 574 3 0 0
2655 691 1 0 0
2656 850 2 0 0
2657 22 3 0 0
2661 616 2 0 0
2664 1035 0 1 0
